" The food is wonderful and it is a lot of fun to be here   
",0,
"So wrote a ten year old student in a letter to his parents from North Country School  Lake Placid  New York
",0,
"In this one sentence  he unwittingly revealed the basic philosophy of the nutrition and psychological programs in operation at the school
",0,
"Because the food is selected with thought for its nutritional value  care for its origin  and prepared in a manner that retains the most nutrients  the food does taste good
",0,
"When served in a psychological atmosphere that allows young bodies to assimilate the greatest good from what they eat because they are free from tension  a foundation is laid for a high level of health that releases the children from physical handicaps to participate with enjoyment in the work assignments  the athletic programs and the most important phase  the educational opportunities
",0,
"Situated in a region of some of the loveliest mountain scenery in the country  the school buildings are located amid open fields and farm lands
",0,
"These contemporary structures  beautifully adapted to a school in the country  are home to 60 children  ages eight to fourteen  grades four through eight
",0,
"From fourteen states and three foreign countries they come to spend the months from mid-September to June
",0,
"The Director  Walter E. Clark  believes that a school with children living full time in its care must take full responsibility for their welfare
",0,
"To him this means caring for the whole child  providing basic nutrition  and a spiritual attitude that lends freedom for the development of the mind
",0,
"Improved farming methods
",0,
"The concept of good nutrition really began with the garden
",1,"(CP
  (QS )
  (Cbar
    (C )
    (S
      (DP
        (D the)
        (NP
          (NP (N concept))
          (PP (P of) (DP (NP (AP (A good)) (N nutrition))))))
      (VP
        (VP (AdvP (Adv really)) (VP (V began)))
        (PP (P with) (DP (D the) (NP (N garden))))))))
(CP
  (QS )
  (Cbar
    (C )
    (S
      (DP
        (D the)
        (NP
          (NP (N concept))
          (PP (P of) (DP (NP (AP (A good)) (NP (N nutrition)))))))
      (VP
        (VP (AdvP (Adv really)) (VP (V began)))
        (PP (P with) (DP (D the) (NP (N garden))))))))
(CP
  (QS )
  (Cbar
    (C )
    (S
      (DP
        (D the)
        (NP
          (N concept)
          (PP (P of) (DP (NP (AP (A good)) (N nutrition))))))
      (VP
        (VP (AdvP (Adv really)) (VP (V began)))
        (PP (P with) (DP (D the) (NP (N garden))))))))
(CP
  (QS )
  (Cbar
    (C )
    (S
      (DP
        (D the)
        (NP
          (N concept)
          (PP (P of) (DP (NP (AP (A good)) (NP (N nutrition)))))))
      (VP
        (VP (AdvP (Adv really)) (VP (V began)))
        (PP (P with) (DP (D the) (NP (N garden))))))))
(CP
  (QS )
  (Cbar
    (C )
    (S
      (DP
        (D the)
        (NP
          (NP (N concept))
          (PP (P of) (DP (NP (AP (A good)) (N nutrition))))))
      (VP
        (AdvP (Adv really))
        (VP
          (VP (V began))
          (PP (P with) (DP (D the) (NP (N garden)))))))))
(CP
  (QS )
  (Cbar
    (C )
    (S
      (DP
        (D the)
        (NP
          (NP (N concept))
          (PP (P of) (DP (NP (AP (A good)) (NP (N nutrition)))))))
      (VP
        (AdvP (Adv really))
        (VP
          (VP (V began))
          (PP (P with) (DP (D the) (NP (N garden)))))))))
(CP
  (QS )
  (Cbar
    (C )
    (S
      (DP
        (D the)
        (NP
          (N concept)
          (PP (P of) (DP (NP (AP (A good)) (N nutrition))))))
      (VP
        (AdvP (Adv really))
        (VP
          (VP (V began))
          (PP (P with) (DP (D the) (NP (N garden)))))))))
(CP
  (QS )
  (Cbar
    (C )
    (S
      (DP
        (D the)
        (NP
          (N concept)
          (PP (P of) (DP (NP (AP (A good)) (NP (N nutrition)))))))
      (VP
        (AdvP (Adv really))
        (VP
          (VP (V began))
          (PP (P with) (DP (D the) (NP (N garden)))))))))"
"The school has always maintained a farm to supply the needs of the school
",0,
"In a climate hostile to agriculture  Mr. Clark has had to keep alert to the most productive farm techniques
",0,
"Where a growing season may  with luck  allow 60 days without frost  and where the soil is poor  sandy  quick-drying and subject to erosion  many farmers fail
",0,
"Throughout the Adirondack region abandoned farm homes and wild orchards bear ghostly testimony that their owners met defeat
",0,
"Mr. Clark found that orthodox procedures of deep plowing  use of chemical fertilizers and insecticides  plus the application of conservation principles of rotation and contouring  did not prevent sheet erosion in the potato fields and depreciation of the soil
",0,
" To give up these notions required a revolution in thought   Mr. Clark said in reminiscing about the abrupt changes in ideas he experienced when he began reading  Organic Gardening  And  Modern Nutrition  in a search for help with his problems
",0,
" Louis Bromfield's writings excited me as a conservationist 
",0,
"By 1952 he was convinced he would no longer spray
",0,
"He locked his equipment in a cabinet where it still remains
",1,"(CP
  (QS )
  (Cbar
    (C )
    (S
      (DP he)
      (VP
        (VP (V locked) (DP (DPPOS his) (DP (NP (N equipment)))))
        (PP
          (P in)
          (DP
            (D a)
            (NP
              (N cabinet)
              (CP
                (QS where)
                (Cbar
                  (C )
                  (S
                    (DP it)
                    (VP (AdvP (Adv still)) (VP (V remains)))))))))))))
(CP
  (QS )
  (Cbar
    (C )
    (S
      (DP he)
      (VP
        (V locked)
        (DP
          (DPPOS his)
          (DP
            (NP
              (NP (N equipment))
              (PP
                (P in)
                (DP
                  (D a)
                  (NP
                    (N cabinet)
                    (CP
                      (QS where)
                      (Cbar
                        (C )
                        (S
                          (DP it)
                          (VP (AdvP (Adv still)) (VP (V remains))))))))))))))))
(CP
  (QS )
  (Cbar
    (C )
    (S
      (DP he)
      (VP
        (V locked)
        (DP
          (DPPOS his)
          (DP
            (NP
              (N equipment)
              (PP
                (P in)
                (DP
                  (D a)
                  (NP
                    (N cabinet)
                    (CP
                      (QS where)
                      (Cbar
                        (C )
                        (S
                          (DP it)
                          (VP (AdvP (Adv still)) (VP (V remains))))))))))))))))"
"After reading  Plowman's Folly  by Edward H. Faulkner  he stopped plowing
",0,
"The basis for compost materials already existed on the school farm with a stable of animals for the riding program  poultry for eggs  pigs to eat garbage  a beef herd and wastes of all kinds
",0,
"Separate pails were kept in the kitchen for coffee grounds and egg shells
",0,
